Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",70,80,80,,,,
,63876,710.0024,545.9,251.66696,,,,111
,63894,705.1715,546.93176,250.37541,,,,193
,63909,697.5207,548.3093,248.97217,,,,193
,63927,693.2119,549.23303,248.64532,,,,193
,63942,683.3576,551.31305,248.18561,,,,193
,63959,673.086,553.5851,247.9671,,,,193
,63977,663.1463,555.7605,248.22214,,,,193
,63996,645.68243,559.4345,249.15236,,,,193
,64012,645.68243,559.4345,249.15236,,,,193
,64029,630.0334,562.36957,252.19156,,,,193
,64045,626.52026,562.9085,252.64359,,,,193
